user_id,product_id,interaction_type,rating,timestamp,quantity
U005,P1001,view,0,2025-04-01 10:00:00,0
U001,P1002,add_to_cart,0,2025-04-01 10:05:00,0
U007,P1003,purchase,0,2025-04-01 10:10:00,0
U007,P1004,purchase,0,2025-04-01 10:15:00,0
U006,P1005,purchase,0,2025-04-01 10:20:00,0
U006,P1006,view,0,2025-04-01 10:25:00,0
U004,P1007,view,0,2025-04-01 10:30:00,0
U003,P1008,review,3,2025-04-01 10:35:00,0
U003,P1009,add_to_cart,0,2025-04-01 10:40:00,0
U004,P1010,purchase,0,2025-04-01 10:45:00,0
U003,P1011,review,4,2025-04-01 10:50:00,0
U007,P1012,purchase,0,2025-04-01 10:55:00,0
U007,P1013,purchase,0,2025-04-01 11:00:00,0
U005,P1014,view,0,2025-04-01 11:05:00,0
U006,P1015,review,5,2025-04-01 11:10:00,0
U007,P1016,add_to_cart,0,2025-04-01 11:15:00,0
U003,P1017,view,0,2025-04-01 11:20:00,0
U004,P1018,add_to_cart,0,2025-04-01 11:25:00,0
U004,P1019,view,0,2025-04-01 11:30:00,0
U005,P1020,add_to_cart,0,2025-04-01 11:35:00,0
U002,P1021,review,4,2025-04-01 11:40:00,0
U007,P1022,add_to_cart,0,2025-04-01 11:45:00,0
U004,P1023,view,0,2025-04-01 11:50:00,0
U006,P1024,add_to_cart,0,2025-04-01 11:55:00,0
U007,P1025,purchase,0,2025-04-01 12:00:00,0
U004,P1026,review,3,2025-04-01 12:05:00,0
U002,P1027,purchase,0,2025-04-01 12:10:00,0
U001,P1028,view,0,2025-04-01 12:15:00,0
U007,P1029,purchase,0,2025-04-01 12:20:00,0
U002,P1030,view,0,2025-04-01 12:25:00,0
U002,P1007,view,0,2025-04-01 11:05:00,0
U004,P1008,add_to_cart,0,2025-04-01 11:15:00,1
U001,P1002,purchase,0,2025-04-01 11:30:00,1
U009,P1010,view,0,2025-04-01 12:00:00,0
U005,P1001,add_to_cart,0,2025-04-01 12:15:00,2
U003,P1015,view,0,2025-04-01 12:45:00,0
U008,P1012,add_to_cart,0,2025-04-01 13:20:00,1
U010,P1020,purchase,0,2025-04-01 13:35:00,1
U004,P1008,purchase,0,2025-04-01 14:00:00,1
U002,P1007,add_to_cart,0,2025-04-01 14:30:00,1
U006,P1019,review,5,2025-04-01 15:15:00,0
U009,P1010,add_to_cart,0,2025-04-01 15:45:00,1
U005,P1001,purchase,0,2025-04-01 16:20:00,2
U007,P1030,view,0,2025-04-01 16:45:00,0
U008,P1012,purchase,0,2025-04-01 17:10:00,1
U010,P1025,review,3,2025-04-01 17:30:00,0
U002,P1007,purchase,0,2025-04-01 18:00:00,1
U001,P1017,view,0,2025-04-01 18:25:00,0
U003,P1015,add_to_cart,0,2025-04-01 19:00:00,1
U009,P1010,purchase,0,2025-04-01 19:45:00,1
U002,P1017,review,4,2025-04-02 09:15:00,0
U005,P1001,review,5,2025-04-02 10:30:00,0
U008,P1012,review,3,2025-04-02 11:45:00,0
U004,P1008,review,5,2025-04-02 13:20:00,0
U009,P1010,review,2,2025-04-02 14:40:00,0
U001,P1002,review,4,2025-04-02 16:15:00,0
U007,P1004,review,5,2025-04-02 17:30:00,0
U010,P1020,review,3,2025-04-02 18:45:00,0
U003,P1015,review,4,2025-04-02 19:20:00,0
U006,P1005,review,5,2025-04-02 20:10:00,0
